age_rating,Count of title for movie,Count of title for movie 2,Count of title for tv,description,genre,Sum of running_time,title,type,Sum of year
A,,,1,Atticus Freeman joins his friend Letitia and his Uncle George to embark on a road trip across 1950s Jim Crow America in search of his missing father.,Horror,,Lovecraft Country,tv,2020
A,,,1,"Barry, who kills for money, discovers acting when he is looking for his target. He realises he enjoys it so much that he wants to leave behind his old life.",Comedy,,Barry,tv,2018
A,1,1,,"Based on a true story, this drama was adapted from the life of Brandon Teena and his courage to live his life as his true self.",Biopic,118,Boys Don't Cry,movie,1999
A,1,1,,"Best-known as a writer/contributor on ""The Daily Show with Trevor Noah,"" Michelle Wolf makes her stand-up debut.",Standup Comedy,55,Michelle Wolf: Nice Lady,movie,2017
A,,,1,Betrayal is rampant in the presence of money. Who will be the last person standing?,Drama,,Big Bet,tv,2022
A,,,1,Betty follows a diverse group of young women navigating their lives through the predominantly male-oriented world of skateboarding.,Comedy,,Betty,tv,2020
A,1,1,,Bill Maher provides his hilarious insights and opinions on a variety of social and political issues in this stand-up special.,Standup Comedy,74,Bill Maher...But I'm Not Wrong,movie,2010
A,1,1,,"Billy Crystal brings his one-man Broadway show in this deeply personal special in which he recalls his passion for the Yankees, and his career in comedy.",Standup Comedy,118,Billy Crystal 700 Sundays,movie,2014
A,1,1,,"Bob Saget enthralls his fans by sharing his life experiences as a single dad, dating, and divorce.",Standup Comedy,54,Bob Saget: That Ain't Right,movie,2007
A,1,1,,"Born and brought up in Mumbai's red-light area, naïve Simran discovers the long-running movie DDLJ, which in turn sparks hope of love and life in her.",Drama,12,Maratha Mandir Cinema,movie,2021
A,,,1,"Candy Montgomery is a 1980 housewife and mother who did everything right—good husband, two kids, nice house. However, her desire for freedom has deadly results.",Drama,,A Death in Texas: Candy,tv,2022
A,1,1,,Chandu has taken the fine art of taking a dump to a whole new level. Will his quirky beliefs affect his friendship and prospects for romance?,Romance,10,Gud Gud Wala Pyaar,movie,2021
A,,,1,Chan-mi and Soo-heon get caught up in shocking situations in this high-teen revenge thriller.,Mystery,,Revenge of Others,tv,2022
A,,,1,"Chris Rock brings his wit and high energy to an exciting half-hour that features a stand-up monologue, a special guest and a music performance.",Talk Show,,The Chris Rock Show,tv,1997
A,1,1,,"Chris Rock performs a gut-busting set in his fourth special taped before a live audience at Constitution Hall in Washington, D.C.",Standup Comedy,78,Chris Rock: Never Scared,movie,2004
A,1,1,,"Chris Rock runs riot on-stage extolling his razor-sharp wit and wisdom on such topics as gun control, homophobia, racism, black leaders, and relationships.",Standup Comedy,64,Chris Rock: Bigger & Blacker,movie,1999
A,1,1,,"Chris Rock's 2008 comedy tour visits London, New York, and Johannesburg. Various parts of this tour are edited together to create this stand-up special.",Standup Comedy,76,Chris Rock: Kill The Messenger,movie,2008
A,,,1,Chronicling the ascendancy of the 1980s LA Lakers through the legendary coaches and players who changed the game of basketball forever.,Sport,,Winning Time: The Rise of the Lakers Dynasty,tv,2022
A,,,1,Chronicling the rise and fall of the Baltimore Police Department's Gun Trace Task Force and the corruption and moral collapse that befell this American city.,Drama,,We Own This City,tv,2022
A,,,1,"Comedian Bill Maher hosts this long-running talk show, covering the week’s news and featuring a diverse panel of guests.",Talk Show,,Real Time With Bill Maher,tv,2018
A,1,1,,"Comedian David Cross promises to skewer anything and everything in this performance, taped live at the Show Box Theater in Seattle.",Standup Comedy,52,David Cross: The Pride Is Back,movie,1999
A,1,1,,"Comedian Katt Williams performs in Ontario discussing topics like California marijuana dispensaries, TV shows, homophobia, police tactics, and drug commercials.",Standup Comedy,57,Katt Williams: Priceless: Afterlife,movie,2014
A,1,1,,Comedian Pete Holmes shares his hilarious insights into life's most absurd moments in this stand-up comedy special.,Standup Comedy,54,Pete Holmes: Faces And Sounds,movie,2016
A,1,1,,"Comedy star Louis C.K. takes digs at fat and skinny people, bumper stickers, strangers and friends, sex and marriage, and the new favorite pastime for fathers.",Standup Comedy,55,Louis C.K.: Shameless,movie,2007
A,1,1,,Common sense and comedy take centre stage in comedian Bill Maher's scathing one-hour show on political and religious absurdity in the age of George W. Bush.,Standup Comedy,56,Bill Maher: Victory Begins At Home,movie,2003
A,1,1,,"Conan, who was sold into slavery when he was a kid, sets off to find Thulsa Doom, the sorcerer responsible for the genocide of his family and people.",Action,128,Conan the Barbarian,movie,1982
A,1,1,,"Consumed and lost in his writing, an aloof writer sets out to find the truth behind a mysterious fictional character who’s on a killing spree.",Thriller,27,Behrupiya,movie,2019
A,1,1,,"Cousins Shiva and Shekar get mired in village politics by sheer chance. Things take a turn for the worse when a rival is killed, and their bond is put to test.",Thriller,120,Bettanagere,movie,2015
A,,,1,"Daisy Kowalski, who is popularly known as Jett, gets released from prison, several dangerous criminals try to exploit her skills for their selfish gains.",Drama,,Jett,tv,2019
A,,,1,Danny McBride stars as a celebrity televangelist who will stop at nothing to keep his family’s big-money megachurch afloat.,Comedy,,The Righteous Gemstones,tv,2019
A,1,1,,"Darby Thorne, a young woman who is stranded by a blizzard, stumbles across an abducted girl hidden in a van, leading her to a terrifying life-or-death struggle.",Thriller,95,No Exit,movie,2022
A,1,1,,"Dave Attell is funnier and more outlandish than ever in his first solo HBO special, performed at The Lincoln Theater, the venerable Washington DC venue.",Standup Comedy,51,Dave Attell: Captain Miserable,movie,2007
A,1,1,,"Dave Chappelle returns to D.C. and riffs on politics, police, race relations, drugs, Sesame Street and more.",Standup Comedy,57,Dave Chappelle: Killin' Them Softly,movie,2000
A,1,1,,Dennis Miller is making history by headlining a stand-up special as part of the inaugural edition of The Comedy Festival in Las Vegas!,Standup Comedy,57,Dennis Miller: All In,movie,2006
