cast,country,Year,Quarter,Month,Day,description,director,duration,listed_in,rating,Sum of release_year,show_id,title,type
"Derek Lackenbauer, Tanya Guelck, Anthony Tullo, Zach Parsons, Cassaundra Sloan, Lauryn Hall, Adam Oldfield","",,,,,"A homeless musician, out of time, crashes into the lives of a struggling single parent family. As the bonds of love and friendship grow, so does the mystery of George Arlington and his red guitar. The battered vagabond finds himself the reluctant hero once again picking up his supernatural six string to save a family, taking him further and further from his own.",Adrian Konstant,106 min,Drama,13+,2013,s8308,I Was A Greenhouse,Movie
"Derek Richards, Mike McCarthy, Derrick Keane, Damon Leibert","",,,,,"A fast-paced, raucous ride across America with four joke-slinging entertainers who know how to party and put on a great show. Get a lighthearted look at life on the road and the high-spirited experience of being Irish in America.","Derek Richards, Brad O'Connor",57 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",18+,2019,s602,The Irish Comedy Tour,Movie
"Dermot Mulroney, Graham Rogers, Isabel Lucas, Nick Jonas","",,,,,Nick Jonas stars as a young man entangled in an all-consuming love affair with a wealthy married woman that soon escalates into a deadly scandal.,Elizabeth Allen Rosenbaum,91 min,"Drama, Suspense",R,2016,s7125,Careful What You Wish For,Movie
"Dermot Mulroney, Nicole Tompkins, Nick Guerra, Vladimir Caamano, Jonathan Katz, Brittany Curran","",,,,,"Blanket (Dermot Mulroney) is an indoor cat who is too afraid to leave his apartment. But when his adventurous son, Cape, sets out to find a legendary cat paradise, Blanket must overcome his own fears and embark on the wildest ride of his life.",Gary Wang,91 min,"Action, Animation, Kids",PG,2020,s4812,Cats,Movie
"Dervla Kirwan, James Wilby, Paul Freeman, Nicholas Gecks","",,,,,"After a car-crash, photographer Jinx Kingsley wakes from a coma under the care of eminent neuro-psychiatrist Dr Protheroe. It appears to have been a failed suicide attempt prompted by her fiancés elopement with Jinx's best friend, Meg. But with the discovery of the bodies of Leo and Meg, brutally murdered, Jinx becomes prime suspect.",Graham Theakston,114 min,Drama,18+,1999,s7784,The Dark Room,Movie
"Desi Arnaz, Lucille Ball","",,,,,"The legendary Lucille Ball as you've never seen her before! Laugh along with Lucy and Desi in these extremely rare television appearances, beautifully restored in original Black and White.",Desi Arnaz,69 min,Comedy,7+,1956,s7201,Lucy's Really Lost Moments,Movie
"Designer, Ameir White","",,,,,A hilarious inner city comedy about a young man trying to fit in.,Ameir White,41 min,Comedy,18+,2020,s9063,The Pudgie Movie,Movie
"Desiree Hall, Samantha Colburn, Eddie Ritchard, Crista Flanagan","",,,,,"Bride-to-be Claire, her sister Leslie, fun-loving Zoe, and quirky new friend Janet set off to Las Vegas for a one-night bachelorette party that turns out to be more than they bargained for.",magnolia,82 min,"Arthouse, Comedy",R,2014,s8982,Best Night Ever,Movie
"Desiree Saetia, Jason Mccall, Kate Lewis","",,,,,"Friends plan a 24-hour horror-movie-marathon as a last-ditch effort to save a theater. Unbeknownst to them, a derelict who has been hiding out at the theater for years will stop at nothing to keep the meddling kids from ruining his sanctuary. But when The Phantom gets a load of their leader Christine, things turn from bad to worse as he falls head over heels for the girl of his dark dreams",Chris Seaver,61 min,"Horror, Suspense",18+,2021,s4773,Phantom of the Grindhouse,Movie
"Desmond Harrington, Lea Thompson, Julie Mond, Fred Ward","",,,,,"Ten strangers aboard a bus are forced off the road by a nomadic biker gang. Taking refuge in an abandoned scrap yard, they use improvised weapons, adrenaline and sheer guts to mount a defense against the murderous bikers. As their numbers dwindle, they realize that their survival depends on doing the unthinkable - fighting for their lives!",Scott Ziehl,91 min,"Action, Suspense",18+,2020,s3639,Exit Speed,Movie
"Desmond Mullen, Pig, Busy Little Engine, Lorrie Guess",United States,,,,,"A wooden toy train pretends to be real, but doesn't know much about what real trains do - he's only seen them at crossing gates. With the Narrator and some imagination, Busy Little Engine and Pig have fun learning about what trains do all day! Winner of the Telly Award for Excellence in Children's Programming. A Parenting Magazine ""Parenting Pick"". ""Highly Recommended"" by Video Librarian magazine.",Desmond Mullen,34 min,"Animation, Kids",ALL,2007,s3749,The Busy Little Engine,Movie
"DESTYNEE RAINES, J.D McCARTHY, LASHAUN TODMAN, NATE TAYLOR, JANESHA CORBIT, SHARON WASHINGTON, RONALD SWINTON, DAJAVEON BELLAMY, MAKAYLA GROBSMITH, MAREONA THEUS, JA'NAYSHA ODISTER, TYRONE TIZAK JACKSON","",,,,,"Two sisters with a dark past who grew up hating each other on the low get entangled in a web a lies, adultery and murder. With Tracy, the older sister of Lena being traumatized by her childhood decides to take her feelings out on her little sister Lena which causes them both to go at each other in a way to make you look at ANY sister sideways. Some Things You Just Don't Do!",Tyrone TIZAK Jackson,107 min,"Drama, Romance, Suspense",18+,2020,s2110,INFIDELITY,Movie
"Detroit Holiday, Sandy Renfroe, Jay Ransby, Mob Diva, leon miles","",,,,,"this is a story about two brothers jason and jermaine who are faced with the pressure of entering the same drug game that their dad once ruled,due to their lack of knowledge of the obstacles that follow the game they become subject to be prayed for prayed over or preyed on while trying to obtain thirty thousand for lawyer fee for their incarcerated father who unexpectedly wanted out the game.",Reginald j Gist,83 min,"Action, Drama",R,2019,s3911,Block Burning,Movie
"Dev Kharoud, Aarushi Sharma, Jagjeet Sandhu","",,,,,"The story of Kaka Ji highlights the era of the 90s in Punjab when the notorious gang Kale Kachia Wale was dominant in the state. Kaka Ji is the son of royal Sardar Kartar Singh Brar falls in love with Deepi, a young girl from the adjacent village. Things take a turn when Kaka Ji gets trapped by the gang while trying to save the love of his life.",Mandeep Benipal,123 min,"Comedy, Drama, Romance",13+,2019,s1972,Kaka Ji - Son of Royal Sardar,Movie
"Dev Kharoud, Mehreen Pirzada, Manav Vij, Aman Dhaliwal, Girija Shankar, Shavinder Mahal, Nita Mohindra, Tarsem Paul",India,,,,,DSP Dev is a corrupt officer who enjoys all the perks of being an immoral and unethical police officer. His world is shaken when he discovers the mystery behind his father's death and the culprits behind it. The film also revolves around the drug mafia prevalent in the state of Punjab and how politics is entangled in the whole business.,Mandeep Benipal,141 min,"Action, Drama, Suspense",13+,2019,s2599,DSP DEV,Movie
"Dev, Subhashree Ganguly, Firdaus","",,,,,"The story of a aimless younger, who fall in love with Don's sister. There is an underworld Don named Shankar Das who lives in Kolkata along with his sister Pooja. Dev joins his organization as an accountant where he gets to know about Puja. They fall deeply in love and the rest of the story evolves around how the hero plays some mind games to win her heart .",D. Sankaraiyaa,158 min,Comedy,13+,2012,s5853,Khokababu,Movie
"Devadarshini, Kadhal Dhandapani, Muthu, Thambi Ramaiah","",,,,,"The story is about a group of youngsters who leave their native place for Chennai in the hope of getting a break in the film industry. In Chennai, they rent a house whose owner is very supportive of them. A film production manager recommends them to various film companies. One fine day, all of them get a chance in a big-budget film. But unfortunately, a difference of opinion crops up among them.",SP Gnanamozhi,114 min,Romance,13+,2015,s7215,Thiraipada Nagaram,Movie
"Devika Bhise, Raffi Barsoumian, Amanda Debraux, Peter Mark Kendall, Adam LeFevre, Laila Robins","",,,,,"Set in Fall 2001 at the campus of Blair University, amidst the aftermath of 9/11, a diverse group of college students spring into action when confronted by the reality of a suicide, which forces them to face a campus-wide mental health crisis. They struggle to make sense of their place in a new world order.",Linda G. Mills,92 min,Drama,13+,2019,s5064,The Rest of Us,Movie
"Dewey Martin, Stewart Petersen, Aldo Ray","",,,,,"America's unclaimed and unexplored land drew thousands to the West, including the Sager family. Traveling with a wagon train, across the frontier from Missouri to Oregon, both parents succumbed to the untamed wilderness - the father from an Indian attack, and mother from pneumonia. The seven Sager children courageously continued the journey their parents began, through the wilderness.",Earl Bellamy,97 min,"Adventure, Western",G,1974,s4233,Seven Alone,Movie
"Dezhou Wu, Dong Wei, Fei Wang, Fengchao Liu, Jin Zhang, Jing He, Junjie Mao, Nan Tie, Sammo Hung Kam-Bo, Wenjie Wang, Xin Liu","",,,,,"Upon arrival at an elite martial arts conservatory, a group of young boys swear allegiance to each other and form a gang. A decade later at graduation, they unexpectedly cross paths with an evil martial arts master and foil his kidnapping plan. Now, they must put their combat skills to the test in order to defeat this enemy and save their brotherhood.",Antony Szeto,98 min,Action,PG-13,2010,s3628,Jackie Chan Presents: Wushu,Movie
"Dhanush, Aparna Pillai, Karunas, Peter Hein","",,,,,"Saravanan comes to Singapore for a job but lands in trouble, loses his passport and is on the run. Desperate to get back home, he accepts the job of taking a girl to India in return for a hefty sum.",S. S. Stanley,150 min,"Comedy, Romance",13+,2004,s7103,Pudhukottaiyilirundhu Saravanan,Movie
"Dhanush, Berenice Bejo, Erin Moriarty, Barkhad Abdi, Amruta Sant","",,,,,"Aja, a clever young street magician from Mumbai, sets out on an extraordinary journey when his mother passes away, to find the father he never knew. He discovers love in a Swedish furniture store in Paris, mortal danger with Somali migrants in England, fame on a dance floor in Rome and adventure in a hot-air balloon over the Mediterranean sea.",Ken Scott,98 min,"Action, Comedy",PG-13,2019,s676,The Extraordinary Journey of the Fakir,Movie
"Dhanush, Chaya Singh, Karunas, Meghna Nair","",,,,,"Vasu, a youngster, is considered irresponsible by the woman he loves, Viji, and his family. In order to gain their approval, he decides to mend his ways and prove his worth.",Subramaniam Siva,152 min,"Comedy, Romance",13+,2003,s6790,Thiruda Thirudi,Movie
